Symbol
COST
KO
PEP
PG
WMT
BUD
DG
NESN.SW
PM
TGT
AMAT
ASML
KLAC
LRCX
CDNS
INTC
MU
SNPS
TSLA
TSM
TXN
AMZN
ANET
AVGO
GOOGL
MSFT
NVDA
PANW
AMD
DDOG
EQIX
FTNT
META
NOW
ORCL
PLTR
SNOW
VRT
APO
ARES
BN
BX
KKR
BLK
CG
CVX
OWL
STEP
TPG
CSPX.L
BRK-B
CME
GS
ICE
JPM
MS
AXP
CB
COIN
IBKR
SCHW
SPGI
TW
BLNK
ROKU
FDX
GE
MANH
SAP
UPS
ZBRA
ABB
GXO
PLD
SIE.DE
XPO
DAL
UAL
RYAAY
CPA
SKYW
AAL
LUV
ALK
RCL
CCL
NCLH
BKNG
EXPE
ABNB
MAR
HLT
H
LVS
MGM
WYNN
MSI
CSCO
UI
CRDO
VZ
LMT
NOC
HEI
HWM
GD
CW
